id,temperature,pressure,humidity,wind_speed,wind_direction,precipitation,snowing,cloudiness,target
TRAIN_00000,27.8816,1013.6,46.8,2.4,232.4,0,FALSE,0,1.18
TRAIN_00001,5.754,1026.6,76.6,3.6,172,0,FALSE,8.8,8.581
TRAIN_00002,20.822,1016.2,64.8,2.2,206,0.06,FALSE,23,3.978
TRAIN_00003,20.0758,1017.4,72.6,0.8,215.4,0,FALSE,0,8.301
TRAIN_00004,7.526,1023.2,82.8,1.2,158,0,FALSE,15,1.692
TRAIN_00005,24.85,1011.2,64.6,2.2,126,0,FALSE,0,1.971
TRAIN_00006,32.942,1016.8,35.8,3.8,166,0,FALSE,16,7.179
TRAIN_00007,14.812,1006.8,73,4,172,0.12,FALSE,60,9.11
TRAIN_00008,12.321,1025.8,66.6,1,170.4,0,FALSE,2.8,12.238
TRAIN_00009,20.7706,1004.4,67,1.4,215.2,0,FALSE,11.2,7.333